SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,223206927644,0,668722.298811481,4812765.546050405,35579464,638311.2634713508,4811589.095326242,63.83314232417712,3562,,15177.59125501252,3941713.6472558356,39410
1,225075950662,0,754631.6929726467,4822097.62828433,39208443,697462.5033828795,4821152.927588934,69.75422886389022,3925,,8596.152296414717,3993551.2325184494,37066
2,228665831052,0,653815.2783086502,4818269.312720215,35041340,613646.5573122308,4817179.792821838,61.36465573122308,3508,,10825.222211595326,3997801.932801768,38660
3,219859759572,0,803467.7096144794,4841727.907959858,40584857,739051.6951183524,4840860.544823193,73.93802474175735,4064,1,8326.183658234311,4047194.9323115516,37075
4,220986969863,0,839462.5807046402,4815298.181085081,38872755,704312.4221147102,4814465.087185175,70.44759180370795,3892,,4274.2600965134825,4093927.743171709,38212
5,224424350782,0,715714.2527073864,4812776.755955142,37671172,672119.5782650255,4812109.1705379365,67.21195782650256,3771,,11184.103532225741,4241319.361855554,38828
6,223318654219,0,885648.776263533,4950444.407633165,47244812,846861.6321435347,4949666.148885184,84.68616321435347,4728,,14161.293454690018,4086997.9560945057,35188
7,214956237616,0,987309.1117312812,4772942.262298061,47552498,885526.7384240427,4771199.302256523,88.57616033410459,4760,1,6255.424824073197,3185244.780070063,34876
8,224638546822,0,666328.2051749135,4742451.703388001,34346379,612292.9922129,4741799.123040631,61.236149751202106,3439,,8620.258359936523,4238179.101454989,39773
9,215880916694,0,975237.340912951,4772437.363877557,48188647,893545.5664820293,4771886.648412756,89.36408065989055,4823,,7944.705466015654,4136659.525773201,36212
